categoria,subcategoria,produto,album_url,imagem_1,imagem_2
📢 New Notice 2-Star 🏆 Large Stock Available,,Spain 2026 2 Stars Special Edition Jersey - Blue S-4XL,https://minkang.x.yupoo.com/albums/248186871?uid=1&isSubCate=false&referrercate=5211803,https://photo.yupoo.com/minkang/fe887e57fa/0755eab0.png,https://photo.yupoo.com/minkang/c67a4e4efa/f6cdf875.png
📢 New Notice 2-Star 🏆 Large Stock Available,,Spain 2026 Special Edition 2-Star - Red Jersey S-4XL,https://minkang.x.yupoo.com/albums/247790784?uid=1&isSubCate=false&referrercate=5211803,https://photo.yupoo.com/minkang/f7b1b4cbe1/c753afc3.jpg,https://photo.yupoo.com/minkang/5b414c0a98/2b5bcc8d.jpg
📢 New Notice 2-Star 🏆 Large Stock Available,,Spain 2026 Special Edition 2-Star - Black Jersey S-4XL,https://minkang.x.yupoo.com/albums/247790610?uid=1&isSubCate=false&referrercate=5211803,https://photo.yupoo.com/minkang/71e3e89923/85254535.jpg,https://photo.yupoo.com/minkang/4fd68f2371/5d869be4.jpg
